Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Jamaica,81.0,81.0,81.0,81.0,80.0,79.0,78.0,77.0,77.0,77.0,77.0,79.0,78.0,79.0,80.0,80.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,78.0,78.0,80.0,80.0,80.0,80.0,80.0,80.0
Jordan,97.0,93.0,90.0,86.0,83.0,81.0,79.0,77.0,75.0,72.0,70.0,68.0,65.0,63.0,62.0,62.0,58.0,56.0,55.0,54.0,53.0,52.0,52.0,51.0,49.0,48.0,47.0,46.0,46.0,46.0,46.0,46.0
Japan,13.0,12.0,12.0,11.0,11.0,11.0,10.0,10.0,10.0,9.0,9.0,8.0,8.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Kazakhstan,72.0,71.0,74.0,82.0,83.0,88.0,86.0,82.0,74.0,66.0,61.0,57.0,52.0,49.0,46.0,43.0,40.0,36.0,30.0,24.0,22.0,19.0,17.0,14.0,13.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0
Kenya,728.0,724.0,724.0,726.0,723.0,722.0,720.0,718.0,717.0,713.0,708.0,702.0,692.0,678.0,653.0,618.0,583.0,545.0,513.0,472.0,432.0,398.0,373.0,364.0,358.0,353.0,346.0,342.0,342.0,342.0,342.0,342.0
Kyrgyzstan,74.0,78.0,77.0,83.0,93.0,101.0,95.0,87.0,85.0,79.0,79.0,76.0,83.0,82.0,79.0,82.0,85.0,84.0,81.0,80.0,79.0,79.0,74.0,70.0,69.0,66.0,63.0,60.0,60.0,60.0,60.0,60.0
Cambodia,879.0,836.0,804.0,774.0,741.0,699.0,662.0,605.0,559.0,519.0,488.0,456.0,430.0,404.0,378.0,351.0,326.0,303.0,284.0,265.0,248.0,232.0,215.0,202.0,189.0,178.0,168.0,160.0,160.0,160.0,160.0,160.0
Kiribati,214.0,203.0,192.0,184.0,175.0,168.0,161.0,154.0,148.0,141.0,136.0,131.0,127.0,124.0,121.0,119.0,117.0,115.0,115.0,113.0,112.0,110.0,107.0,104.0,100.0,97.0,94.0,92.0,92.0,92.0,92.0,92.0
Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Korea,25.0,24.0,22.0,21.0,20.0,20.0,20.0,19.0,18.0,17.0,17.0,15.0,15.0,16.0,15.0,15.0,14.0,15.0,15.0,16.0,15.0,14.0,13.0,13.0,12.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0
Kuwait,11.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0
Lao,835.0,795.0,767.0,739.0,709.0,682.0,655.0,626.0,599.0,570.0,544.0,517.0,491.0,465.0,437.0,410.0,385.0,360.0,336.0,314.0,292.0,272.0,254.0,238.0,223.0,209.0,196.0,185.0,185.0,185.0,185.0,185.0
Lebanon,50.0,44.0,40.0,36.0,33.0,31.0,30.0,29.0,28.0,28.0,28.0,27.0,26.0,25.0,24.0,24.0,24.0,23.0,23.0,23.0,23.0,25.0,25.0,27.0,28.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0
Liberia,1180.0,1190.0,1260.0,1400.0,1330.0,1430.0,1190.0,1080.0,990.0,930.0,894.0,913.0,1010.0,878.0,837.0,816.0,782.0,754.0,738.0,724.0,708.0,694.0,683.0,674.0,688.0,691.0,661.0,661.0,661.0,661.0,661.0,661.0
Libya,98.0,91.0,86.0,82.0,80.0,77.0,75.0,74.0,72.0,71.0,70.0,68.0,66.0,64.0,61.0,57.0,55.0,53.0,52.0,53.0,53.0,56.0,55.0,58.0,63.0,70.0,73.0,72.0,72.0,72.0,72.0,72.0
Saint Lucia,74.0,70.0,68.0,69.0,75.0,79.0,84.0,88.0,90.0,89.0,86.0,86.0,90.0,92.0,89.0,83.0,82.0,87.0,93.0,100.0,109.0,116.0,116.0,108.0,104.0,115.0,117.0,117.0,117.0,117.0,117.0,117.0
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,80.0,79.0,76.0,77.0,69.0,73.0,67.0,61.0,61.0,56.0,56.0,53.0,50.0,50.0,48.0,45.0,47.0,43.0,42.0,41.0,38.0,38.0,37.0,37.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0
Lesotho,599.0,593.0,594.0,596.0,598.0,597.0,594.0,593.0,600.0,601.0,614.0,633.0,653.0,671.0,680.0,679.0,668.0,652.0,623.0,607.0,594.0,585.0,586.0,583.0,579.0,574.0,559.0,544.0,544.0,544.0,544.0,544.0
