Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Cabo Verde,123.42,123.694,124.547,124.422,118.153,112.395,108.446,107.201,105.81,103.211,100.424,98.173,96.536,94.306,93.514,95.482,96.699,92.685,90.221,82.595,78.974,76.975,71.417,68.688,66.636,64.655,65.121,62.571,57.389,56.453,55.952,55.228
Costa Rica,93.687,91.915,91.175,90.734,89.608,87.957,86.713,86.829,84.553,84.734,82.104,76.014,71.194,69.445,68.081,66.38,66.242,67.813,69.868,67.674,65.123,64.909,65.567,62.31,58.971,55.253,53.031,53.783,51.147,44.882,38.024,37.148
Cuba,77.793,68.314,66.73,62.344,61.139,59.506,53.524,54.788,50.969,50.492,47.865,46.732,47.209,45.658,44.258,42.542,40.429,44.143,51.481,55.673,55.976,57.664,52.634,51.297,49.249,50.275,49.205,51.207,53.938,52.618,51.493,48.82
Cyprus,35.111,33.394,32.158,25.787,21.583,18.077,15.003,11.004,11.994,9.925,10.351,8.942,8.121,7.79,8.235,7.277,6.817,5.922,6.257,6.116,6.133,5.98,6.033,5.364,5.293,5.446,6.04,6.608,7.142,6.955,6.896,6.827
Czechia,40.665,43.043,42.654,42.308,33.077,25.625,20.982,18.894,17.235,15.562,13.349,11.656,11.476,11.214,11.176,10.963,10.782,11.164,11.564,11.979,11.975,11.922,12.554,12.234,12.123,11.626,11.62,11.523,10.59,9.851,9.839,9.709
Germany,20.707,19.012,16.719,14.664,13.096,12.398,12.554,12.505,11.968,12.249,13.698,13.649,12.894,11.995,11.329,10.954,10.721,10.674,10.564,9.948,9.687,8.996,8.546,8.075,8.114,8.318,9.511,8.618,8.004,7.524,7.417,7.465
Djibouti,46.119,45.078,44.18,43.857,42.22,40.737,39.721,37.513,35.705,34.844,33.891,32.88,31.0,29.184,27.691,26.016,25.421,25.048,24.296,24.647,24.833,24.679,24.386,24.107,23.599,23.267,23.038,22.961,22.629,22.716,22.776,22.722
Dominica,91.477,88.766,90.066,84.307,74.741,62.072,59.427,61.651,59.445,64.542,59.459,62.726,56.67,54.04,53.232,51.08,51.981,50.561,48.688,46.926,45.981,45.573,44.585,43.492,42.372,41.114,39.635,39.105,39.348,39.325,39.022,38.49
Denmark,9.331,9.384,10.203,9.785,9.886,9.461,8.783,9.152,8.665,8.432,8.169,7.601,6.481,5.899,5.594,5.521,5.714,5.592,5.835,5.444,5.022,4.643,4.499,4.247,3.834,3.561,3.511,2.893,2.495,2.123,1.893,1.908
Dominican Republic,116.527,115.197,115.268,118.224,117.187,113.864,113.015,111.364,110.02,111.036,112.23,112.017,110.884,109.873,105.859,103.28,101.253,102.863,105.496,104.701,109.433,109.026,106.089,100.151,97.477,95.116,91.817,87.909,83.874,78.455,68.278,65.629
Algeria,24.322,24.699,24.131,22.844,22.005,19.071,16.71,13.331,11.238,10.14,9.302,8.797,8.632,8.838,8.96,9.214,9.376,9.455,9.095,9.635,10.288,11.134,11.95,12.684,12.771,11.888,12.731,12.872,12.654,12.303,12.057,11.714
Ecuador,88.897,87.847,84.272,85.188,87.052,88.927,90.547,89.727,91.693,91.5,88.773,88.083,88.435,88.523,87.349,86.874,87.164,89.208,90.694,92.019,91.858,91.278,90.001,84.146,80.124,79.692,75.1,72.683,71.383,67.77,63.944,63.163
Egypt,80.932,78.637,77.542,72.693,69.087,67.189,64.587,63.389,60.782,60.291,58.95,56.768,54.671,54.79,54.639,55.676,56.623,57.158,56.959,57.263,58.306,58.103,58.469,59.123,58.101,56.931,52.246,50.624,49.099,46.431,45.672,44.767
Eritrea,98.8,99.266,100.902,103.63,108.492,104.896,102.475,97.522,92.597,87.32,85.114,84.525,84.573,84.099,83.737,82.963,81.005,78.804,77.17,75.818,74.322,73.038,72.016,71.129,70.997,70.691,69.786,68.296,66.639,65.921,64.78,64.356
Spain,11.679,10.726,9.877,9.081,8.255,7.701,7.561,7.822,8.046,8.717,9.285,9.934,10.219,10.843,11.121,11.565,12.191,13.021,13.372,11.98,10.888,9.757,9.079,8.381,8.073,7.628,7.255,6.932,6.184,5.941,5.979,6.281
Estonia,54.371,53.048,49.861,43.736,40.23,37.557,34.911,30.702,27.14,26.11,26.095,24.47,23.131,22.042,22.436,22.504,23.587,25.84,25.163,22.74,19.482,17.428,16.332,16.371,15.38,12.848,10.899,9.813,9.404,8.687,8.829,8.764
Ethiopia,173.019,168.8,153.875,161.144,156.964,152.086,160.396,150.38,147.267,153.005,143.402,149.561,145.425,134.636,135.105,134.355,125.829,119.708,113.013,102.642,100.744,99.336,89.327,80.918,79.701,76.59,74.23,71.878,71.267,71.691,70.643,69.221
