Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Lao,,,,,,73.48625183,,,,,81.36018372,77.00605774,,,,82.45175171,,,,,,67.35858154,,,,89.96128082,,,,,,
Lebanon,,,,,,,,,,,,,,,,,,93.37893677,,94.27194977,,,,,,,,,,97.01000214,,
Liberia,,,,,,,,,,,,,,,,,,60.77481079,,,,,,,,,,62.69655991,,,,
Libya,,,,,87.72000122,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Lucia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,,,,,,,,,,,,92.27020264,,,,,92.71365356,,92.243927,,92.57846832,,,,,,93.45588684,92.98055267,92.77292633,93.03135681,93.2840271,93.34226227
Lesotho,,,,,,,,,,,79.99578094,,,,,,,,,65.5219574,,,,,67.74746704,,,,,,,
Lithuania,,,,,,,,,,,,99.64315033,,,,,,,,,,99.79418945,,,,,,,,,,99.80999756
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,,,,,,,,,,,99.79334259,,,,,,,,,,,99.88110352,,,,,,,,,,99.86000061
Morocco,,,,,55.15517044,,,,,,,,,,65.70675659,,,,68.36585999,68.9176178,,76.07357788,80.38336182,,75.36726379,,,,,,,
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,,,,,,,,,,,97.97762299,,,,,,,,,,,,,,99.60201263,,,,,,,99.69999695
Madagascar,,,,,,,,,,,76.53832245,,,,,63.34706879,,,,67.41731262,,,75.02886963,,,,,,78.37828064,,,
Maldives,95.89713287,,,,,96.21227264,,,,,96.21227264,,,,,,98.36569214,,,,,,,,98.52033997,,97.29892731,,,,,97.56999969
Mexico,90.34739685,,,,,,,,,,92.55937195,,91.99780273,,92.44960785,93.1904068,93.90119934,94.44151306,94.59216309,94.91657257,94.38394165,94.78276825,95.39163208,95.11210632,95.62046814,95.54933167,95.84481812,95.87236786,96.23290253,,96.05874634,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,98.3250885,,,,,,,,,,
North Macedonia,,,,,97.23235321,,,,,,,,98.21278381,,,,,,,,,,98.69999695,,,,,,,,,
Mali,,,,,,,,,26.73296928,,,,,32.70000076,,,34.85789108,,,,43.40063095,43.52046967,,,,45.06592178,,,46.18413925,,40.43405151,
Malta,,,,,,86.43028259,,,,,,,,,,91.18657684,,,,,,91.79264832,,,,,,,,,,93.44000244
Myanmar,,,,,,,,,,,93.924263,,,,,,,,,,,,,,,,80.01158905,,,92.39292908,,
Montenegro,,89.28208923,,,,,,,,,,,,99.30319214,,,,,,,,99.43121338,,,,,,,,,,99.44999695
Mongolia,,,,,,,,,,,98.01677704,,,,,,,,,,98.17469788,,,,,,,,,,99.12138367,
Mozambique,,,,,,,,54.81887817,,,,,,65.57710266,,,,,,67.35469818,,,,,,70.75839233,,72.59944916,,,72.47187042,
Mauritania,,,,,,,,,,,59.54032898,,,,,,,57.4043808,,,,,,67.95720673,,,,,,,,71.77999878
Mauritius,85.14575195,,,,,,,,,,88.2278595,,,,,,,,,,,91.95172119,94.65241241,94.03688812,94.76538086,94.86116791,95.43585968,,,,,93.91000366
Malawi,,,,,,,,,74.92640686,,,,,,,,,,,,72.09764862,,,,75.97926331,69.75396729,,,,,,
Malaysia,,88.56298828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,,77.80812073,,,,,,,,,,86.55522919,,,,,,74.32834625,,,,88.63123322,,,,,,,,,,92.16000366
Niger,,,,,,,,,,,,19.64006042,,,,42.92736816,,,,,,,39.05868912,,,,,,,,,
Nigeria,,67.65373993,,,,,,,,,,,,66.76743317,,,76.13186646,,61.25405121,,,,,,,,,,71.25570679,,,
Nicaragua,,,,,,,,,,,,76.76049042,,,,78.09642792,,,,,,,,,,82.43855286,,,,,,
Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,,49.22002029,,,,,,,,,,62.70801163,,,,,,,,,,71.70838165,,,,,,,,,,80.98000336
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oman,,,,,,,,,,,,,,86.86234283,,,,,89.99932098,,90.24302673,,,,,96.63287354,,97.02387238,96.98941803,,,
Pakistan,,,,,,,,,55.29661179,,,,,,,64.06047821,67.65184021,65.00493622,68.8660965,68.62761688,68.90061188,66.99114227,69.85822296,68.62934113,69.06681061,,,71.11599731,69.27658081,69.28746033,,
Panama,89.33695984,,,,,,,,,,92.54792786,,,,,,,,,,94.70741272,,,,,,,,95.96893311,96.14089966,,
Peru,,,,92.85101318,,,,,,,,,,,93.46070099,93.7183075,94.22582245,94.85703278,,,,,96.95012665,,96.94898224,97.10637665,97.1884613,97.03974152,97.12136841,,96.98989105,
Philippines,93.97168732,,,,93.30285645,,,,,,92.54499817,,,91.63449097,,,,,95.01213074,,,,,96.00833893,,98.12325287,,,,95.70572662,,
Palau,,,,,,,,,,,,,,,,,,,,,,,,99.46720886,,96.81275177,,,,,,
Papua New Guinea,,,,,,,,,,,63.44522095,,,,,,,,,,65.29000092,,,,,,,,,,,
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.80000305
North Korea,,,,,,,,,,,,,,,,,,,99.99887848,,,,,,,,,,99.99887848,,,
Portugal,,91.58705902,,,,,,,,,,,,,,,,,,,,96.2855835,,,,,,,,,,97.76000214
Paraguay,,,92.00015259,,,,,,,,,,,,,,,95.71237946,94.12631989,94.36772919,94.8131485,,94.81725311,95.6661911,95.87412262,96.25430298,95.47605896,,94.51148224,93.78816986,94.92147064,
Qatar,,,,,,,,84.24456024,,,,,,,89.10427094,,,93.80657959,94.29060364,95.1157074,96.51165771,96.6259079,96.92076874,97.58470917,97.79370117,,,,,,,
Romania,,,98.53202057,,,,,,,,,,98.40440369,,,,,,,,,99.0342865,,,,,,,,,,99.09999847
Russian Federation,,,,,,,,,,,,,99.69407654,,,,,,,,99.72830963,,,,,,,,,,,99.91828156
Rwanda,,,,,,,,,,,71.41938019,,,,,,,,,,71.13053894,,,,76.14972687,,,,77.55879974,,,78.69999695
Saudi Arabia,,,79.96852875,,,,,,,,87.06076813,,,,87.53204346,,,,,,,,,96.53143311,,,,97.10370636,,,98.62293243,
Sudan,,,,,,,,,,,71.58101654,,,,,,,,59.79824829,,,,,,,,,,65.43515015,,,
Senegal,,,,,,,,,,,,,51.05152893,,,,52.25848007,,,59.78427124,,66.03601074,,53.9004097,,,,64.81227875,,,,
Singapore,95.09316254,,,,,,,,,,96.56510162,,,,,,,,,,98.03713989,98.39283752,98.46945953,98.5425415,98.60901642,98.55957031,98.73446655,98.79692078,98.85089874,98.90351868,98.54186249,
Solomon Islands,,,,,,,,,,83.69999695,,,,,,,,,,,,,,,,,,,,,,
Sierra Leone,,,,,,,,,,,,,,,46.65428925,,,,,,,,,41.33216858,,,,,,,,
El Salvador,,,77.37241364,,,,,,,,,,,,,,86.69534302,84.86406708,87.05467987,86.82521057,87.09970093,88.39164734,,89.23500824,,90.0099411,90.29927063,90.63137817,91.1023407,91.30619812,91.73168945,
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia,,,,,,,,,,,,,,98.90718079,,,,,,,,99.26464081,,,,,99.49970245,,,99.87580872,,
South Sudan,,,,,,,,,,,,,,,,,,,34.83692932,,,,,,,,,,40.26480865,,,
Sao Tome and Principe,,85.24964142,,,,,,,,,,92.23467255,,,,,,,80.33023834,,,,94.95616913,,,,,,,,,
Suriname,,,,,,,,,,,,,,,92.0163269,,,,95.49294281,,95.36479187,,94.86987305,,,,,,,,,96.5
Slovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,,99.60208893,,,,,,,,,,99.69999695,,,,,,,,,,,,,,,,,,,,
Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eswatini,,,,,,,,,,,83.15461731,,,,,,,,,,83.90014648,,,,,,,,,,89.06999969,
Seychelles,,,,,87.01515961,,,,,,,,91.40731812,,,,,,,,93.46392059,,,,,,,,,,95.80000305,
Syrian Arab Republic,,,,,,,,,,,,,91.02857208,,87.75814056,,,,,,,,,,91.59999847,,,,,,,
Chad,,,,18.26059914,,,,,,,40.8270607,,,,39.3682518,,,,,,,,,,,38.91820145,31.32879066,,,,,
Togo,,,,,,,,,,,68.72573853,,,,,,70.2702713,,,71.16635132,,74.05682373,,,,77.25942993,,,,79.99169159,,
Thailand,,,,,,,,,,,94.90157318,,,,,95.60024261,,,,,96.43502045,,,95.25125885,,94.65911865,,,95.20239258,,,95.5
Tajikistan,,,,,,,,,,,99.68399048,,,,,,,,,,99.80000305,,,,,,,,,,,
Turkmenistan,,,,,,99.32498169,,,,,,,,,,99.59999847,,,,,,,,,,,,,,,,
Timor-Leste,,,,,,,,,,,,45.29999924,,,,,,58.5,,,63.59178925,,,,,,,,,,73.30000305,
