Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Belize,17200000.0,13600000.0,15600000.0,9200000.0,15369500.0,21050000.0,16580000.0,11955000.0,17650000.0,58671500.0,29564651.9166666,61174888.8668778,25461176.8782397,-10924755.7533455,111496166.355423,126908465.922063,108828544.570357,140373737.268583,169668449.489583,108840086.423874,96449877.0838033,95348525.1917313,194201408.788436,92247730.9426541,141097030.34391,59119223.8981488,32733410.9928006,31831615.5013862,122041646.954707,93910241.7033733,76202813.5002132,125495493.195586
Bolivia,27200000.0,52000000.0,93100000.0,123800000.0,130200000.0,392700000.0,474100000.0,730600000.0,949300000.0,1010500000.0,736350000.0,705756000.0,676543000.0,197400000.0,65430000.0,-238620000.0,280763457.0,366294241.538303,512335605.237139,423040000.0,621997989.548348,858941070.400943,1059965390.78481,1749612614.39791,656566350.80003,554643532.297183,335365530.426077,712474137.775022,302368781.37636,-216636843.1305,-1129487271.3377,583576424.725665
Brazil,989000000.0,1103000000.0,2061000000.0,1292000000.0,3072000000.0,4859000000.0,12552000000.0,18992934310.6468,28855609916.42,28385675614.9902,32994718699.75,23225846372.251,16586600193.114,10123013670.9901,18161380459.7533,15459981604.1196,19418085598.0794,44579492463.6336,50716402711.4787,31480931700.0,82389932468.07,102427228231.42,92568388321.34,75211029129.4,87713983217.24,64738153494.44,74294627801.19,68885491315.23,78162724370.35,69174411753.43,38270116307.45,46440503520.19
Barbados,11213282.795,7424921.25,14450000.0,9402113.87,12950000.0,63803750.15,15836484.06,28203499.05,29160482.23,47539505.12,73696943.905,91504910.94,228343253.8,184701288.595,228334500.0,390061395.8643,342267498.215,476404576.96,615122884.63,356008255.11,425337312.585,459552936.365,528045664.5074,104089451.159478,753687476.11428,688525943.309105,557500316.04356,91481933.165,241596499.9,215370128.6,262100000.0,238735064.3
Brunei Darussalam,7000000.0,5000000.0,7000000.0,8000000.0,5889999.9,582760563.3,653600000.0,701740000.0,573250000.0,747868668.6,549607250.7,60694643.6567848,229671955.675395,123820911.146426,113205866.961457,175068516.562807,87839128.3133848,257635717.488309,222184549.489168,325586827.786629,480722546.956,691170274.423,864905527.501,775641999.089,573906207.836339,171289167.823995,-150550827.310313,467927550.316567,516202620.629746,373256767.246304,565542275.429332,204749379.815089
Bhutan,1600000.0,600000.0,,,,50000.0,1399999.9,-700000.0,,1050274.76,,,2425411.898,3370306.526,8859907.539,6210884.351,6122702.14271106,73855769.764882,3144001.01949936,18299707.2343963,75274009.0283126,31141614.8601365,24380673.5733894,20433631.0650379,23534931.751976,6450953.8497443,11884162.3485119,-16553759.9525493,2649454.31118453,13011377.2857268,-2786960.89013149,6783112.48768633
Botswana,95889963.0424103,-8211493.7828439,-1564184.90561566,-286949434.086852,-14154569.0110668,70413220.7555472,71182310.7136661,100109748.737479,95318134.9210105,36675065.7829259,57171341.354862,30680571.2084683,407997392.45524,418040676.139807,390889251.855271,420854175.013436,486913109.102448,494634226.153715,520917902.314755,208699298.206302,218379837.568309,293208060.474684,146084155.211847,67136806.1634995,515184471.01724,378554181.530079,142522598.297582,260575129.351448,285955061.932015,93607130.0326021,31792610.4142283,-319055857.574533
Central African Republic,697850.065105837,-4874038.73164914,-10676567.963142,-9980132.27944839,3602275.00892801,6200565.7,10925575.5,1497424.0,7300593.947,5976946.527,889074.9,5183898.8,5644286.5,11300000.0,15100000.0,10100000.0,34670000.0,56750000.0,117110000.0,42280000.0,61520000.0,36908455.8,70035157.3,1852792.6,3475007.9,3000000.0,7256090.484,6888751.401,18003535.455,25601157.287,1737359.823,5409980.25
Canada,8401707941.43435,3514220103.04375,7018240062.86526,4178460316.69705,9541029101.65658,13657593613.3371,8817677647.2938,15182400421.6905,24979208298.1649,27456044687.0987,68303350856.0836,28391098831.3382,24486425376.8819,7011792709.04631,1452416545.21802,25552226940.9281,64302303096.8668,120451484862.004,70119614332.5095,20951090410.3132,29714744325.4741,38338330427.428,49368985104.1989,67027866778.2682,64174605785.6347,59986208237.0735,34201872160.6085,25357801000.497,42603762048.5971,48942300762.2452,29123011879.2998,59125104306.8679
Switzerland,5544796309.51597,2838789160.79242,1128487634.09191,1706937974.44082,3682699144.72734,4158247959.95384,4880219415.70052,8391921105.89553,11345529735.0728,14541329307.9251,23080879762.6769,9765012889.09898,8258050580.1782,19721053893.3922,7102294152.7232,2664910821.00245,53760772986.3034,48688296542.6701,2990936685.10856,47658570354.7326,17670735602.9225,20764483834.5029,39943494321.6384,-24926465856.5785,21003091521.7734,118752400108.647,166801396968.929,143235966548.555,-160387834479.04,8774913614.47833,-242167615576.118,-117205528462.786
Chile,661200000.0,822700000.0,936100000.0,1034300000.0,2582100000.0,2957000000.0,4814616000.0,5271400000.0,4627817978.0,8761016217.84,4860015667.52,4199763048.85,2549923142.41108,3485728421.75027,4968731407.62405,5990831828.9531,4755333483.36662,10545224588.4776,18811777951.3689,12750321998.889,14849443157.025,26369463388.8273,31801970676.0608,21120756844.0181,25527831848.9546,17766285629.0926,11362832162.4891,5237183518.21249,7942631935.04886,13579090978.7599,11447397288.618,15933021424.5106
China,3487000000.0,4366000000.0,11156000000.0,27515000000.0,33787000000.0,35849200000.0,40180000000.0,45439000000.0,45644000000.0,41014000000.0,42095300000.0,47053000000.0,53073618897.4036,57900937467.3864,68117272181.2194,104108693867.085,124082035618.506,156249335203.202,171534650311.569,131057052869.5,243703434558.178,280072219149.935,241213868161.42,290928431467.003,268097181064.335,242489331627.399,174749584584.051,166083755721.649,235365050036.341,187169822364.755,253095616058.58,344074977062.48
Cote d'Ivoire,48434429.6,18524885.9,69053843.7,175153533.4,117538566.8,211760840.4,269194529.588,415458076.41,760099126.709,235348766.199,234701731.519,272679898.341,212580417.453,165390571.232,282979830.962,349059586.543272,350964618.559397,443801751.423173,468377743.888902,397624744.268005,358468317.342002,301972462.517861,330255520.654571,407592122.101427,439356961.150901,494408755.776341,577871524.156215,975014998.795493,620330654.359791,848881139.442877,712915894.481616,1392435143.38301
Cameroon,-112831336.842375,-14498049.7545054,29203775.7802858,5120733.12285922,3674320.50910657,15105727.2922078,104417058.426533,149614497.755635,55231294.1577247,35009801.8441187,159708006.201387,-11668387.3783906,505256043.293607,334888535.860208,67984855.6422292,243601636.500456,59122291.3428058,189581294.625153,20995513.7446129,746276648.961818,536265313.198885,653266626.571786,527363935.614182,547404749.757182,725854540.914877,694336734.87982,663893595.165465,814458940.927625,765092012.778526,1024779237.90889,675186993.65287,963531503.483345
Congo Democratic Republic,-14460000.0,12390000.0,-730000.0,6870000.0,-1500000.0,-22350000.0,24789999.9,-44350000.0,61329999.9,11160000.0,94190399.9,102221899.9,187598693.6,391254723.5,409032814.4,180000000.0,256100000.0,1808000000.0,1726800000.0,-243200000.0,2742300000.0,1596024303.85686,2891607809.09542,1697585830.80626,1499572152.49797,1165720010.30767,932374669.380907,1047979482.55526,1407563588.42423,1350994226.20535,1498084807.8648,1677673789.73561
Congo Republic,22551558.2,32753529.6,2739032.5,286054322.0,2990000.0,112782084.60409,62427618.5785834,-49200799.9052803,-169664715.515787,-68298651.8368345,-98141674.3463606,-135479673.015224,200095651.485644,220038914.195923,88557997.2244039,801314933.871917,1489015781.25324,1424251935.63471,1947972913.20639,1189051286.37969,1522228646.33912,298678855.105983,-69249948.2173565,1878859499.34966,2891102397.12388,4279839199.11278,50608700.3526123,4416953733.854,4315250918.388,-1427679257.05894,-1983178866.50125,-320209517.696023
Colombia,500000000.0,456900000.0,728700000.0,959100000.0,1446497261.33581,968368273.647335,3111676589.81669,5562216361.61769,2828826261.61251,1507907130.44589,2436459923.42856,2541942612.20739,2133698124.14946,1720493455.49813,3115635873.52058,10235417315.1376,6750625311.15878,8885764397.56293,10564155795.9327,8034746177.08445,6429989612.99413,14647048638.4496,15039979138.8914,16210419015.9816,16168701714.7497,11620532645.7092,13857937720.8026,13700880445.1998,11298692773.8486,13989154028.3683,7458624984.21929,9561335276.67571
Comoros,393003.10379242,2506163.33401032,-1446978.12497841,190704.780596669,177714.239994358,889525.017698175,510000.0,20000.0,384216.3,271000.0,93636.115,1145914.995,430423.479,793243.734562134,672560.378635006,558865.800033729,778420.21387879,7691947.28915694,4650574.15690676,13839598.1677915,8350406.72212106,23118440.5401983,10375197.4614675,4231644.417,4684558.67518381,4936699.51044482,3569823.72997217,3919473.02500835,5672348.12858,4300803.9663215,3875846.08058854,4024772.1820532
